Producto,Tipo de Atributo,Frecuencia
Bronze & Highlight Powder Contour Kit,GLOSSY_FINISH,1
Bronze & Highlight Powder Contour Kit,OIL_CONTROL,1
Bronze & Highlight Powder Contour Kit,PORE_MINIMIZING,1
Brow Fix Clear Eyebrow Gel,NGRAM_ATTRIBUTE,2
Brow Fix Clear Eyebrow Gel,GLOSSY_FINISH,1
Brow Fix Clear Eyebrow Gel,OIL_CONTROL,1
Brow Fix Clear Eyebrow Gel,PORE_MINIMIZING,1
Brow Freeze® Applicator,NGRAM_ATTRIBUTE,2
Brow Freeze® Applicator,GLOSSY_FINISH,1
Brow Freeze® Applicator,OIL_CONTROL,1
Brow Freeze® Applicator,PORE_MINIMIZING,1
Brow Freeze® Gel,NGRAM_ATTRIBUTE,2
Brow Freeze® Gel,GLOSSY_FINISH,1
Brow Freeze® Gel,OIL_CONTROL,1
Brow Freeze® Gel,PORE_MINIMIZING,1
Brow Genius® Conditioning Brow Serum,NGRAM_ATTRIBUTE,2
Brow Genius® Conditioning Brow Serum,GLOSSY_FINISH,1
Brow Genius® Conditioning Brow Serum,OIL_CONTROL,1
Brow Genius® Conditioning Brow Serum,PORE_MINIMIZING,1
Brow Primer Colorless Wax Pencil,NGRAM_ATTRIBUTE,2
Brow Primer Colorless Wax Pencil,GLOSSY_FINISH,1
Brow Primer Colorless Wax Pencil,OIL_CONTROL,1
Brow Primer Colorless Wax Pencil,PORE_MINIMIZING,1
CC+ Cream Illumination with SPF 50+,NGRAM_ATTRIBUTE,7
CC+ Cream Illumination with SPF 50+,GLOSSY_FINISH,1
Cheek To Chic Blush,NGRAM_ATTRIBUTE,16
Cheek To Chic Blush,GLOSSY_FINISH,2
Cheek To Chic Blush,INDUSTRY_TERM,2
Cheek To Chic Blush,FIRMING,1
Cheek To Chic Blush,MATTE_FINISH,1
Cheek To Chic Blush,OIL_CONTROL,1
Cheek To Chic Blush,PORE_MINIMIZING,1
Cheek to Chic Blush - Pillow Talk Collection,NGRAM_ATTRIBUTE,5
Chocolate Soleil Matte Bronzer (Too Faced),NGRAM_ATTRIBUTE,5
Chocolate Soleil Matte Bronzer (Too Faced),GLOWY_FINISH,1
Chocolate Soleil Melting Bronzing & Sculpting Stick (Too Faced),NGRAM_ATTRIBUTE,5
Chocolate Soleil Melting Bronzing & Sculpting Stick (Too Faced),GLOWY_FINISH,1
Clean Foundation Brush,NGRAM_ATTRIBUTE,10
Clear Brow Gel Favorites Brow Duo,NGRAM_ATTRIBUTE,2
Clear Brow Gel Favorites Brow Duo,GLOSSY_FINISH,1
Clear Brow Gel Favorites Brow Duo,OIL_CONTROL,1
Clear Brow Gel Favorites Brow Duo,PORE_MINIMIZING,1
Climax Volumizing Mascara,NGRAM_ATTRIBUTE,4
Climax Volumizing Mascara,GLOSSY_FINISH,2
Climax Volumizing Mascara,FORMULA,1
Climax Volumizing Mascara (NARS),GLOSSY_FINISH,1
Climax Volumizing Mascara (NARS),TEXTURE,1
Climax Waterproof Liquid Eyeliner (NARS),GLOSSY_FINISH,1
Climax Waterproof Liquid Eyeliner (NARS),TEXTURE,1
Cloud Crush Blurring Powder Blush,NGRAM_ATTRIBUTE,2
Cloud Crush Blurring Powder Blush,GLOSSY_FINISH,1
Cloud Crush Blurring Powder Blush,OIL_CONTROL,1
Cloud Crush Blurring Powder Blush,PORE_MINIMIZING,1
Cloud Crush Blurring Powder Blush (Too Faced),NGRAM_ATTRIBUTE,5
Cloud Crush Blurring Powder Blush (Too Faced),GLOWY_FINISH,1
Cocoa Bold Cream Lipstick (Too Faced),NGRAM_ATTRIBUTE,5
Cocoa Bold Cream Lipstick (Too Faced),GLOWY_FINISH,1
Collagen Lip Bath Gloss,NGRAM_ATTRIBUTE,7
Collagen Lip Bath Gloss,GLOSSY_FINISH,2
Collagen Lip Bath Gloss,INDUSTRY_TERM,2
Collagen Lip Bath Gloss,OIL_CONTROL,1
Collagen Lip Bath Gloss,PORE_MINIMIZING,1
Colorblur Tinted Glow Lip + Cheek Balm with Vitamin C (goop),NGRAM_ATTRIBUTE,7
Contour & Highlight Stick,NGRAM_ATTRIBUTE,2
Contour & Highlight Stick,GLOSSY_FINISH,1
Contour & Highlight Stick,OIL_CONTROL,1
Contour & Highlight Stick,PORE_MINIMIZING,1
Cosmos Eyeshadow Palette,NGRAM_ATTRIBUTE,2
Cosmos Eyeshadow Palette,GLOSSY_FINISH,1
Cosmos Eyeshadow Palette,OIL_CONTROL,1
Cosmos Eyeshadow Palette,PORE_MINIMIZING,1
Cream Lip Stain 10HR Liquid Lipstick,NGRAM_ATTRIBUTE,5
Cream Lip Stain Liquid Lipstick Set,NGRAM_ATTRIBUTE,5
Creamy Obsessions Eyeshadow Palette,NGRAM_ATTRIBUTE,2
Creamy Obsessions Eyeshadow Palette,GLOSSY_FINISH,1
Creamy Obsessions Eyeshadow Palette,OIL_CONTROL,1
Creamy Obsessions Eyeshadow Palette,PORE_MINIMIZING,1
Curator™ Eyeshadow Palettes,NGRAM_ATTRIBUTE,2
Curator™ Eyeshadow Palettes,GLOSSY_FINISH,1
D-Bronzi™ Bronzing Drops with Peptides,NGRAM_ATTRIBUTE,4
D-Bronzi™ Bronzing Drops with Peptides,HYDRATION_MOISTURE,1
D-Bronzi™ Bronzing Drops with Peptides (Drunk Elephant),INGREDIENTS,2
Damn Girl! 24-Hour Mascara (Too Faced),NGRAM_ATTRIBUTE,5
Damn Girl! 24-Hour Mascara (Too Faced),GLOWY_FINISH,1
Dewy Set Hydrating Setting Spray,NGRAM_ATTRIBUTE,2
Dewy Set Hydrating Setting Spray,GLOSSY_FINISH,1
Dewy Set Hydrating Setting Spray,OIL_CONTROL,1
Dewy Set Hydrating Setting Spray,PORE_MINIMIZING,1
Dior Addict Lip Glow,NGRAM_ATTRIBUTE,72
Dior Addict Lip Glow,GLOSSY_FINISH,6
Dior Addict Lip Glow,FIRMING,1
Dior Addict Lip Glow,FORMULA,1
Dior Addict Lip Glow,PORE_MINIMIZING,1
Dior Addict Lip Glow,WATERPROOF,1
Dior Addict Lip Maximizer Plumping Gloss,NGRAM_ATTRIBUTE,4
Dior Addict Lip Tint,NGRAM_ATTRIBUTE,72
Dior Addict Lip Tint,GLOSSY_FINISH,6
Dior Addict Lip Tint,FIRMING,1
Dior Addict Lip Tint,FORMULA,1
Dior Addict Lip Tint,PORE_MINIMIZING,1
Dior Addict Lip Tint,WATERPROOF,1
Dior Forever Couture Luminizer Highlighter Powder,NGRAM_ATTRIBUTE,4
Dior Forever Couture Luminizer Highlighter Powder,GLOSSY_FINISH,2
Dior Forever Couture Luminizer Highlighter Powder,FORMULA,1
Dior Forever Glow Veil Makeup Primer,NGRAM_ATTRIBUTE,10
Dior Forever Glow Veil Makeup Primer,GLOSSY_FINISH,3
Dior Forever Glow Veil Makeup Primer,FORMULA,1
Dior Forever Matte Foundation SPF 15,NGRAM_ATTRIBUTE,25
Dior Forever Matte Foundation SPF 15,GLOSSY_FINISH,1
Dior Forever Natural Powder Bronzer,NGRAM_ATTRIBUTE,29
Dior Forever Natural Powder Bronzer,GLOSSY_FINISH,3
Dior Forever Natural Powder Bronzer,FORMULA,1
Dior Forever Skin Correct Full-Coverage Concealer,NGRAM_ATTRIBUTE,25
Dior Forever Skin Correct Full-Coverage Concealer,GLOSSY_FINISH,1
Dior Forever Skin Glow Foundation SPF 15,NGRAM_ATTRIBUTE,43
Dior Forever Skin Glow Foundation SPF 15,GLOSSY_FINISH,6
Dior Forever Skin Glow Foundation SPF 15,FORMULA,1
Diorshow Brow Styler Eyebrow Pencil,NGRAM_ATTRIBUTE,4
Diorshow Brow Styler Eyebrow Pencil,GLOSSY_FINISH,2
Diorshow Brow Styler Eyebrow Pencil,FORMULA,1
Diorshow On Stage Waterproof Liquid Eyeliner,WATERPROOF,1
Diorshow OnSet Brow Gel,NGRAM_ATTRIBUTE,4
Diorshow OnSet Brow Gel,GLOSSY_FINISH,2
Diorshow OnSet Brow Gel,FORMULA,1
Diorshow Waterproof Mascara,NGRAM_ATTRIBUTE,4
Diorshow Waterproof Mascara,GLOSSY_FINISH,2
Diorshow Waterproof Mascara,FORMULA,1
Diorshow Waterproof Mascara,INDUSTRY_TERM,1
Diorshow Waterproof Mascara,WATERPROOF,1
Disco Crush High Shine Glitter Eye + Face Sparkle (Too Faced),NGRAM_ATTRIBUTE,5
Disco Crush High Shine Glitter Eye + Face Sparkle (Too Faced),GLOWY_FINISH,1
Divinely Flawless Translucent Loose Setting Powder & Puff,COVERAGE,1
Dual-Ended Cream to Powder Perfect Brow Pencil,NGRAM_ATTRIBUTE,2
Dual-Ended Cream to Powder Perfect Brow Pencil,GLOSSY_FINISH,1
Dual-Ended Cream to Powder Perfect Brow Pencil,OIL_CONTROL,1
Dual-Ended Cream to Powder Perfect Brow Pencil,PORE_MINIMIZING,1
E-Rase™ Milki Micellar Water (Drunk Elephant),INGREDIENTS,2
Empowered Eyeshadow Palette,NGRAM_ATTRIBUTE,7
Empowered Eyeshadow Palette,FORMULA,1
Empowered Eyeshadow Palette,GLOSSY_FINISH,1
Empowered Eyeshadow Palette,OIL_CONTROL,1
Empowered Eyeshadow Palette,PORE_MINIMIZING,1
Even Better™ All-Over Concealer + Eraser,NGRAM_ATTRIBUTE,2
Everlasting Blush,NGRAM_ATTRIBUTE,4
Everlasting Blush,GLOSSY_FINISH,2
Everlasting Blush,FORMULA,1
Everlasting Lip Liner,NGRAM_ATTRIBUTE,4
Everlasting Lip Liner,GLOSSY_FINISH,2
Everlasting Lip Liner,FORMULA,1
Explicit Refillable Satin Lipstick (NARS),GLOSSY_FINISH,1
Explicit Refillable Satin Lipstick (NARS),TEXTURE,1
Eyes To Mesmerize Cream Eyeshadow,NGRAM_ATTRIBUTE,2
Eyes To Mesmerize Cream Eyeshadow,GLOSSY_FINISH,1
Eyes To Mesmerize Cream Eyeshadow,OIL_CONTROL,1
Eyes To Mesmerize Cream Eyeshadow,PORE_MINIMIZING,1
F2 Dual-Ended Powder Brush,NGRAM_ATTRIBUTE,8
F2 Dual-Ended Powder Brush,COVERAGE,1
F2 Dual-Ended Powder Brush,GLOSSY_FINISH,1
F2 Dual-Ended Powder Brush,SKIN_TONE,1
F5 Concealer Brush,NGRAM_ATTRIBUTE,4
F5 Concealer Brush,GLOSSY_FINISH,1
F5 Concealer Brush,TEXTURE,1
Fall Romance Eyeshadow Palette,NGRAM_ATTRIBUTE,2
Fall Romance Eyeshadow Palette,GLOSSY_FINISH,1
Fall Romance Eyeshadow Palette,OIL_CONTROL,1
Fall Romance Eyeshadow Palette,PORE_MINIMIZING,1
Faux Filler Shiny Non-Sticky Lip Gloss,NGRAM_ATTRIBUTE,2
Faux Filler Shiny Non-Sticky Lip Gloss,GLOSSY_FINISH,1
Faux Filler Shiny Non-Sticky Lip Gloss,OIL_CONTROL,1
Faux Filler Shiny Non-Sticky Lip Gloss,PORE_MINIMIZING,1
Flush Balm Cream Blush,NGRAM_ATTRIBUTE,16
Flush Balm Cream Blush,SKIN_TONE,1
Forever 24H Skin Contour Stick Sculpting and Bronzing Face Stick,NGRAM_ATTRIBUTE,14
Forever 24H Skin Contour Stick Sculpting and Bronzing Face Stick,FIRMING,1
